id,base,palette,likes
342,#94DAFF,#B983FF|#94B3FD|#94DAFF|#99FEFF,3064
343,#99FEFF,#B983FF|#94B3FD|#94DAFF|#99FEFF,3064
344,#FBF46D,#FBF46D|#B4FE98|#77E4D4|#998CEB,2006
345,#B4FE98,#FBF46D|#B4FE98|#77E4D4|#998CEB,2006
346,#77E4D4,#FBF46D|#B4FE98|#77E4D4|#998CEB,2006
347,#998CEB,#FBF46D|#B4FE98|#77E4D4|#998CEB,2006
348,#544179,#544179|#6166B3|#32C1CD|#17D7A0,1750
349,#6166B3,#544179|#6166B3|#32C1CD|#17D7A0,1750
350,#32C1CD,#544179|#6166B3|#32C1CD|#17D7A0,1750
351,#17D7A0,#544179|#6166B3|#32C1CD|#17D7A0,1750
352,#F0E9D2,#F0E9D2|#E6DDC4|#678983|#181D31,3149
353,#E6DDC4,#F0E9D2|#E6DDC4|#678983|#181D31,3149
354,#678983,#F0E9D2|#E6DDC4|#678983|#181D31,3149
355,#181D31,#F0E9D2|#E6DDC4|#678983|#181D31,3149
356,#C85C5C,#C85C5C|#F9975D|#FBD148|#B2EA70,1571
357,#F9975D,#C85C5C|#F9975D|#FBD148|#B2EA70,1571
358,#FBD148,#C85C5C|#F9975D|#FBD148|#B2EA70,1571
359,#B2EA70,#C85C5C|#F9975D|#FBD148|#B2EA70,1571
360,#9D5C0D,#9D5C0D|#E5890A|#F7D08A|#FAFAFA,2008
361,#E5890A,#9D5C0D|#E5890A|#F7D08A|#FAFAFA,2008
362,#F7D08A,#9D5C0D|#E5890A|#F7D08A|#FAFAFA,2008
363,#FAFAFA,#9D5C0D|#E5890A|#F7D08A|#FAFAFA,2008
364,#89B5AF,#89B5AF|#96C7C1|#DED9C4|#D0CAB2,3093
365,#96C7C1,#89B5AF|#96C7C1|#DED9C4|#D0CAB2,3093
366,#DED9C4,#89B5AF|#96C7C1|#DED9C4|#D0CAB2,3093
367,#D0CAB2,#89B5AF|#96C7C1|#DED9C4|#D0CAB2,3093
368,#000000,#000000|#AA14F0|#BC8CF2|#EEEEEE,1774
369,#AA14F0,#000000|#AA14F0|#BC8CF2|#EEEEEE,1774
370,#BC8CF2,#000000|#AA14F0|#BC8CF2|#EEEEEE,1774
371,#EEEEEE,#000000|#AA14F0|#BC8CF2|#EEEEEE,1774
372,#EEEBDD,#EEEBDD|#D8B6A4|#630000|#000000,2829
373,#D8B6A4,#EEEBDD|#D8B6A4|#630000|#000000,2829
